symbol,yf_symbol,akshare_symbol,name,market,sector_tags,market_cap,pe,float_pct,tags,is_loss,is_low_cap
01005.HK,1005.HK,01005,MATRIX HOLDINGS,HK,行业:家庭电器及用品,2.8,-1.71,100.0,【低市值】【亏损】【高流通】,1,1
01808.HK,1808.HK,01808,企展控股,HK,网络安全;行业:软件服务,2.79,1.66,100.0,【低市值】【低PE】【高流通】,0,1
00532.HK,0532.HK,00532,WKK INTL (HOLD),HK,电子信息,2.77,-5.01,100.0,【低市值】【亏损】【高流通】,1,1
06188.HK,6188.HK,06188,迪信通,HK,行业:资讯科技器材,2.75,-0.17,61.82,【低市值】【亏损】,1,1
01745.HK,1745.HK,01745,驴迹科技,HK,行业:软件服务,2.73,4.21,100.0,【低市值】【低PE】【高流通】,0,1
06822.HK,6822.HK,06822,科劲国际,HK,行业:家庭电器及用品,2.73,-2.51,100.0,【低市值】【亏损】【高流通】,1,1
01046.HK,1046.HK,01046,寰宇娱乐文化,HK,行业:媒体及娱乐,2.72,225.72,100.0,【低市值】【高流通】,0,1
02280.HK,2280.HK,02280,慧聪集团,HK,"电子商务,区块链;行业:软件服务",2.7,-1.01,100.0,【低市值】【亏损】【高流通】,1,1
00833.HK,0833.HK,00833,华讯,HK,电子信息;行业:家庭电器及用品,2.7,5.72,100.0,【低市值】【低PE】【高流通】,0,1
01013.HK,1013.HK,01013,伟俊集团控股,HK,行业:资讯科技器材,2.67,-29.06,100.0,【低市值】【亏损】【高流通】,1,1
01418.HK,1418.HK,01418,盛诺集团,HK,行业:家庭电器及用品,2.63,4.35,100.0,【低市值】【低PE】【高流通】,0,1
00927.HK,0927.HK,00927,富士高实业,HK,"电子信息,消费电子;行业:家庭电器及用品",2.61,-4.67,100.0,【低市值】【亏损】【高流通】,1,1
01198.HK,1198.HK,01198,皇朝家居,HK,行业:家庭电器及用品,2.6,-0.39,100.0,【低市值】【亏损】【高流通】,1,1
00422.HK,0422.HK,00422,越南制造加工出口,HK,行业:汽车,2.59,7.15,100.0,【低市值】【低PE】【高流通】,0,1
02125.HK,2125.HK,02125,稻草熊娱乐,HK,行业:媒体及娱乐,2.58,-117.03,100.0,【低市值】【亏损】【高流通】,1,1
08066.HK,8066.HK,08066,品创控股,HK,电子信息;行业:资讯科技器材,2.52,20.21,100.0,【低市值】【高流通】,0,1
00286.HK,0286.HK,00286,爱帝宫,HK,AI智能医疗,2.52,-1.3,100.0,【低市值】【亏损】【高流通】,1,1
